Con,Contp,Reg,Dat,Status,Agtp,Stage,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth
Sudan,Territory,Africa (excl MENA),2012-09-27,Multiparty signed/agreed,InterIntra,SubPar,1,0,0,0,1
Sudan,Government/territory,Africa (excl MENA),2012-03-13,Multiparty signed/agreed,InterIntra,SubPar,1,0,0,0,1
Sudan,Government,Africa (excl MENA),2004-11-20,Multiparty signed/agreed,InterIntra,SubPar,2,1,1,0,1
Syria,Government,Middle East and North Africa,2015-12-07,Multiparty signed/agreed,IntraLocal,Cea,1,0,0,0,1
Syria,Government,Middle East and North Africa,2012-06-30,Unilateral document,InterIntra,Pre,1,1,0,0,0
Syria,Government/territory,Cross-regional,2020-03-05,Multiparty signed/agreed,InterIntra,Cea,1,1,0,0,0
Tajikistan,Government,Europe and Eurasia,1995-08-17,Multiparty signed/agreed,Intra,Pre,1,0,1,0,0
Tanzania,Government,Africa (excl MENA),2004-11-20,Multiparty signed/agreed,InterIntra,SubPar,2,1,1,0,1
Tanzania,Government,Africa (excl MENA),2006-11-30,Multiparty signed/agreed,InterIntra,SubPar,1,0,1,0,0
Tanzania,Government,Africa (excl MENA),2006-12-15,Multiparty signed/agreed,InterIntra,Imp,2,0,1,0,1
Turkey,Government/territory,Cross-regional,2020-03-05,Multiparty signed/agreed,InterIntra,Cea,1,1,0,0,0
Uganda,Government,Africa (excl MENA),2007-06-29,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Uganda,Government,Africa (excl MENA),2004-11-20,Multiparty signed/agreed,InterIntra,SubPar,2,1,1,0,1
Uganda,Government,Africa (excl MENA),2008-02-19,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Uganda,Government,Africa (excl MENA),2006-12-15,Multiparty signed/agreed,InterIntra,Imp,2,0,1,0,1
Uganda,Government,Africa (excl MENA),2007-05-02,Multiparty signed/agreed,Intra,SubPar,1,1,0,0,0
Uganda,Government,Africa (excl MENA),2006-11-30,Multiparty signed/agreed,InterIntra,SubPar,1,0,1,0,0
